number,symbol,technique,section,expected_panel,risk,risk_label,expected_row,mechanism,mechanism_name,risk_row,mechanism_column,status
1,Ss,Split-view web,poisoning,poisoning_grid,R1,R1 Extreme,R1 Extreme,S,Supply Chain,0,5,consistent
2,Sd,Single-doc RAG,poisoning,poisoning_grid,R1,R1 Extreme,R1 Extreme,R,Retrieval / RAG,0,6,consistent
3,Fr,Frontrun web,poisoning,poisoning_grid,R1,R1 Extreme,R1 Extreme,S,Supply Chain,0,5,consistent
4,Wa,WaNet,poisoning,poisoning_grid,R1,R1 Extreme,R1 Extreme,B,Backdoor / Trigger,0,3,consistent
5,Rg,RAG poison,poisoning,poisoning_grid,R1,R1 Extreme,R1 Extreme,R,Retrieval / RAG,0,6,consistent
6,Ns,Nightshade,poisoning,poisoning_grid,R1,R1 Extreme,R1 Extreme,N,Generative,0,7,consistent
7,Fl,Fed replace,poisoning,poisoning_grid,R1,R1 Extreme,R1 Extreme,D,Distributed / Federated,0,4,consistent
8,Db,DBA,poisoning,poisoning_grid,R1,R1 Extreme,R1 Extreme,D,Distributed / Federated,0,4,consistent
9,Sp,Subpopulation,poisoning,poisoning_grid,R2,R2 High,R2 High,M,Minimal / Structural,1,0,consistent
10,Wb,Witches Brew,poisoning,poisoning_grid,R2,R2 High,R2 High,G,Gradient,1,2,consistent
11,Bn,BadNets,poisoning,poisoning_grid,R2,R2 High,R2 High,B,Backdoor / Trigger,1,3,consistent
12,Hb,Hidden backdoor,poisoning,poisoning_grid,R2,R2 High,R2 High,B,Backdoor / Trigger,1,3,consistent
13,Sa,Sleeper agent,poisoning,poisoning_grid,R1,R1 Extreme,R1 Extreme,B,Backdoor / Trigger,0,3,consistent
14,Bv,Best-of-Venom pref.,poisoning,poisoning_grid,R2,R2 High,R2 High,P,Preference / RLHF,1,8,consistent
15,Rl,RLHF backdoor,poisoning,poisoning_grid,R2,R2 High,R2 High,P,Preference / RLHF,1,8,consistent
16,Td,TrojDiff,poisoning,poisoning_grid,R2,R2 High,R2 High,N,Generative,1,7,consistent
17,Ip,Input-aware BD,poisoning,poisoning_grid,R2,R2 High,R2 High,B,Backdoor / Trigger,1,3,consistent
18,Gg,Gradient RAG,poisoning,poisoning_grid,R2,R2 High,R2 High,R,Retrieval / RAG,1,6,consistent
19,Tf,Target label flip,poisoning,poisoning_grid,R3,R3 Moderate,R3 Moderate,M,Minimal / Structural,2,0,consistent
